Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Variant Id
prod_01KKC5KXM62GE27DFFPXASYPV9,daiwa-silver-creek-190-05-5g-spinning-rod,Daiwa Silver Creek Ultra Light Spoon 1.90m 0.5-5g,published,https://mtvz.bg/products/daiwa-silver-creek-ultra-light-spoon-190.jpg,variant_01KKC5KXXWTTCNNWK0ERY632JM
prod_01KKC5KXM72WPAA0DJJZXSAZVN,major-craft-solpara-ajing-s702aji-spinning-rod,Major Craft Solpara Ajing SPX-S702AJI,published,https://mtvz.bg/products/major-craft-solpara-ajing-s702aji.jpg,variant_01KKC5KXXYWH2NHMV8VF4GT94G
prod_01KKC5KXM74P5S4VXYFCZESQNV,abu-garcia-carabus-delicate2-203-05-35g-spinning-rod,Abu Garcia Carabus Delicate2 2.03m 0.5-3.5g,published,https://mtvz.bg/products/abu-garcia-carabus-delicate2-203.jpg,variant_01KKC5KXXX3ZDBVBX91Z8H4E3X
prod_01KKC5KXM7CJKW8GABNT1FNYQJ,abu-garcia-carabus-delicate2-183-08-4g-spinning-rod,Abu Garcia Carabus Delicate2 1.83m 0.8-4g,published,https://mtvz.bg/products/abu-garcia-carabus-delicate2-183.jpg,variant_01KKC5KXXWVHZZJQ5BN8ZDYQTX
prod_01KKC5KXM7CZSEVNS4YYQ44QBW,abu-garcia-max-sx-2000-spinning-reel,Abu Garcia Max SX 2000,published,https://mtvz.bg/products/abu-garcia-max-sx-2000.jpg,variant_01KKC5KXXZMKZ7V27EWP5EQHZB
prod_01KKC5KXM7JTP143Q4BDKM3TEP,major-craft-solpara-ajing-s682aji-spinning-rod,Major Craft Solpara Ajing SPX-S682AJI,published,https://mtvz.bg/products/major-craft-solpara-ajing-s682aji.jpg,variant_01KKC5KXXYFDM0JPZ0BDHRJYJT
prod_01KKC5KXM7KHSN3DFMQ4VAA5RA,abu-garcia-veritas-ltd-70-medium-spinning-rod,Abu Garcia Veritas LTD 7ft Medium,published,https://mtvz.bg/products/abu-garcia-veritas-ltd-70.jpg,variant_01KKC5KXXXPQ1PG7Y32JZVBZZY
prod_01KKC5KXM7MK2J99QVHHKK1J2F,shimano-stradic-fm-1000hg-spinning-reel,Shimano Stradic FM 1000HG,published,https://mtvz.bg/products/shimano-stradic-fm-1000hg.jpg,variant_01KKC5KXXYJ8N94F7BKJGNWX6G
prod_01KKC5KXM7RGZ5H0R92JGBKKG0,major-craft-solpara-ajing-s642aji-spinning-rod,Major Craft Solpara Ajing SPX-S642AJI,published,https://mtvz.bg/products/major-craft-solpara-ajing-s642aji.jpg,variant_01KKC5KXXYE5JG9000B2GZC9CQ
prod_01KKC5KXM7Z1CTG0PGV9S0H918,shimano-alivio-dx-213-2-10g-spinning-rod,Shimano Alivio DX 2.13m 2-10g,published,https://mtvz.bg/products/shimano-alivio-dx-213.jpg,variant_01KKC5KXXX7D1GJZEX87YM9H0X
prod_01KKC5KXM7ZAX7Z85N9EGY1ABW,daiwa-ninja-lt-1000-spinning-reel,Daiwa 23 Ninja LT 1000,published,https://mtvz.bg/products/daiwa-23-ninja-lt-1000.jpg,variant_01KKC5KXXZKRWFC23JQNW6DZ5W
prod_01KKC5KXM8116NAH9Q1RQ38684,abu-garcia-max-sx-4000-spinning-reel,Abu Garcia Max SX 4000,published,https://mtvz.bg/products/abu-garcia-max-sx-4000.jpg,variant_01KKC5KXY3DY3RKYNM47WV1G6M
prod_01KKC5KXM83EHNC7PJFYN9B3WM,daiwa-ninja-lt-4000-c-spinning-reel,Daiwa 23 Ninja LT 4000-C,published,https://mtvz.bg/products/daiwa-23-ninja-lt-4000-c.jpg,variant_01KKC5KXY3BTMKNVQEG0TT0CVA
